Headline,Compound
White House condemns 'reckless' Houthi terrorist attacks after sailors killed,-0.959
LA coroner discovers dead man was child rape suspect thought to have killed self 15 years ago,-0.9493
Illegal immigrant accused of killing Washington state trooper was previously accused of domestic violence,-0.9477
Dem senator blocks bill to detain illegal immigrants charged with violent crime,-0.9477
Dem senator blocks bill to detain illegal immigrants charged with violent crime,-0.9477
Arizona teen beating death: 6 suspects charged with murder for alleged Halloween party attack,-0.9451
Mom of Texas teen allegedly killed by illegal suspect calls for change after Laken Riley murder,-0.9432
"LSU Fans React To Horrific David Hookstead Death Threat, Suggest Alabama Fans Are Worse",-0.9413
UN shares ‘stomach-churning’ evidence of rape and violence against children as war rages in Sudan,-0.9393
UN shares ‘stomach-churning’ evidence of rape and gender violence against children as war rages in Sudan,-0.9393
Horrific Death Threat And March Madness Is Here | Weekend Recap,-0.9393
Bruce Springsteen says peptic ulcer pain was 'hurting so badly' he couldn't sing: 'It was killing me',-0.937
"NYC residents in AOC's district furious over 'unbearable' migrant crisis, crime: She 'abandoned' us",-0.936
"Georgia man put to death for rape, murder in state's first execution in years",-0.936
"Illegal migrant from Brazil apprehended in MA, wanted in home country for escaping prison, violent crime: ICE",-0.9337
Illegal brother of Laken Riley murder suspect linked to Venezuelan crime gang: DOJ,-0.9325
"A rape victim, a child forced to burn bodies: Gang violence has ripped through the lives of Haiti",-0.9313
"A rape victim, a child forced to burn to bodies: Gang violence has ripped through the lives of Haiti",-0.9313
"Blaise Taylor, former Arkansas State star, arrested on suspicion of poisoning, killing pregnant girlfriend",-0.9313
"Suspect in Kentucky college wrestler's dorm room murder busted in bloody shirt, admitted killing: detective",-0.93
"Suspect in college student's murder busted in bloody shirt, admitted killing: detective",-0.93
AOC under fire: Livid Queens residents demand change amid crime and migrant chaos,-0.9274
"Brazilian illegal migrant caught, wanted there for prison escape, violent crime: ICE",-0.9274
"Citizens fear spiraling crime, chaos after Gov. Hochul forced to deploy National Guard on subway",-0.9246
Ignore FBI director's urgent warning about terrorist threats at our own peril,-0.9231
Illegal immigrant accused of killing state trooper had been arrested years ago in the US,-0.9231
