Results with Weighted Averages and Standard Deviations for Percentage Positive:
Outlet,Figure,Weighted Avg Positive,Std Dev Positive
CNN,Biden,0.5932630991179001,0.8987905418824065
CNN,Trump,0.0,0.0
FOX,Biden,0.2093350468458551,0.22760092652316347
FOX,Trump,0.5793704567311764,0.48223701527338025
NBC,Biden,0.6605632575707945,0.7714276415130372
NBC,Trump,0.07485029940119761,0.2117086171217209

Results with Weighted Averages and Standard Deviations for Percentage Negative:
Outlet,Figure,Weighted Avg Negative,Std Dev Negative
CNN,Biden,0.13077880724939547,0.22336779933099477
CNN,Trump,3.4292825186691127,1.5120936339490305
FOX,Biden,2.6271862231922567,1.161894564880967
FOX,Trump,0.723732364898107,1.1295787101798662
NBC,Biden,0.6856840928007805,0.9689895738182583
NBC,Trump,1.7678214668913266,1.382826592922907
