Outlet,Figure,Negative,Neutral,Positive,Date,Totals,Percentage Positive,Percentage Negative
CNN,Biden,2,17,8,march_8,263,3.041825095,0.760456274
CNN,Trump,4,9,0,march_8,263,0,1.520912548
FOX,Biden,44,36,3,march_8,692,0.433526012,6.358381503
FOX,Trump,0,16,3,march_8,692,0.433526012,0
NBC,Biden,1,9,28,march_8,217,12.90322581,0.460829493
NBC,Trump,1,5,1,march_8,217,0.460829493,0.460829493
CNN,Biden,1,2,0,march_27,216,0,0.462962963
CNN,Trump,8,1,0,march_27,216,0,3.703703704
FOX,Biden,15,10,0,march_27,600,0,2.5
FOX,Trump,5,6,8,march_27,600,1.333333333,0.833333333
NBC,Biden,1,3,0,march_27,167,0,0.598802395
NBC,Trump,2,6,1,march_27,167,0.598802395,1.19760479
CNN,Biden,1,4,0,march_21,234,0,0.427350427
CNN,Trump,7,7,0,march_21,234,0,2.991452991
FOX,Biden,38,16,1,march_21,657,0.152207002,5.783866058
FOX,Trump,2,3,1,march_21,657,0.152207002,0.304414003
NBC,Biden,0,6,12,march_21,196,6.12244898,0
NBC,Trump,9,10,3,march_21,196,1.530612245,4.591836735
CNN,Biden,0,0,1,march_17,183,0.546448087,0
CNN,Trump,7,8,0,march_17,183,0,3.825136612
FOX,Biden,6,3,0,march_17,447,0,1.342281879
FOX,Trump,0,20,0,march_17,447,0,0
NBC,Biden,0,4,1,march_17,103,0.970873786,0
NBC,Trump,1,6,0,march_17,103,0,0.970873786
CNN,Biden,1,0,0,march_16,221,0,0.452488688
CNN,Trump,8,10,0,march_16,221,0,3.619909502
FOX,Biden,13,8,3,march_16,569,0.527240773,2.284710018
FOX,Trump,2,35,1,march_16,569,0.175746924,0.351493849
NBC,Biden,1,6,0,march_16,176,0,0.568181818
NBC,Trump,2,13,0,march_16,176,0,1.136363636
CNN,Biden,0,0,2,march_14,154,1.298701299,0
CNN,Trump,3,6,0,march_14,154,0,1.948051948
FOX,Biden,6,4,0,march_14,270,0,2.222222222
FOX,Trump,0,10,1,march_14,270,0.37037037,0
NBC,Biden,0,3,0,march_14,109,0,0
NBC,Trump,0,4,0,march_14,109,0,0
CNN,Biden,0,1,0,april_7,153,0,0
CNN,Trump,3,1,0,april_7,153,0,1.960784314
FOX,Biden,11,2,2,april_7,364,0.549450549,3.021978022
FOX,Trump,1,2,4,april_7,364,1.098901099,0.274725275
NBC,Biden,3,1,1,april_7,117,0.854700855,2.564102564
NBC,Trump,4,2,0,april_7,117,0,3.418803419
CNN,Biden,0,10,6,april_5,260,2.307692308,0
CNN,Trump,7,7,0,april_5,260,0,2.692307692
FOX,Biden,10,3,2,april_5,675,0.296296296,1.481481481
FOX,Trump,4,5,1,april_5,675,0.148148148,0.592592593
NBC,Biden,3,4,3,april_5,171,1.754385965,1.754385965
NBC,Trump,7,3,0,april_5,171,0,4.093567251
CNN,Trump,17,26,0,april_17,254,0,6.692913386
FOX,Biden,21,9,1,april_17,670,0.149253731,3.134328358
FOX,Trump,23,11,5,april_17,670,0.746268657,3.432835821
NBC,Biden,0,1,0,april_17,190,0,0
NBC,Trump,2,20,0,april_17,190,0,1.052631579
CNN,Trump,7,25,1,april_16,216,0.462962963,3.240740741
FOX,Biden,24,7,0,april_16,632,0,3.797468354
FOX,Trump,10,19,6,april_16,632,0.949367089,1.582278481
NBC,Biden,0,3,0,april_16,205,0,0
NBC,Trump,7,28,0,april_16,205,0,3.414634146
CNN,Biden,0,6,0,april_12,234,0,0
CNN,Trump,7,14,0,april_12,234,0,2.991452991
FOX,Biden,33,11,1,april_12,656,0.152439024,5.030487805
FOX,Trump,2,6,5,april_12,656,0.762195122,0.304878049
NBC,Biden,0,5,3,april_12,176,1.704545455,0
NBC,Trump,4,5,0,april_12,176,0,2.272727273
