Outlet,Figure,Sentiment,Date,Sentiment_Numeric,Weighted_Mean
CNN,Biden,Neutral,april_12,0.0,0.1935483870967742
CNN,Biden,Neutral,april_12,0.0,0.1935483870967742
CNN,Biden,Neutral,april_12,0.0,0.1935483870967742
CNN,Biden,Neutral,april_12,0.0,0.1935483870967742
CNN,Biden,Neutral,april_12,0.0,0.1935483870967742
CNN,Biden,Neutral,april_12,0.0,0.1935483870967742
CNN,Trump,Negative,april_12,-1.0,-0.39896373056994816
CNN,Trump,Negative,april_12,-1.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Negative,april_12,-1.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Negative,april_12,-1.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Negative,april_12,-1.0,-0.39896373056994816
CNN,Trump,Negative,april_12,-1.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_12,0.0,-0.39896373056994816
CNN,Trump,Negative,april_12,-1.0,-0.39896373056994816
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Neutral,april_12,0.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_12,-1.0,-0.6064139941690962
