Outlet,Figure,Negative,Neutral,Positive,Date,Sentiment_Numeric,Mean_Sentiment,Average_Sentiment,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
CNN,Biden,0,6,0,april_12,0,0.0,0.1935483870967742,,,,,,,,,,,,,
CNN,Trump,7,14,0,april_12,-7,-0.3333333333333333,-0.39896373056994816,,,,,,,,,,,,,
FOX,Biden,33,11,1,april_12,-32,-0.7111111111111111,-0.6064139941690962,,,,,,,,,,,,,
FOX,Trump,2,6,5,april_12,3,0.2307692307692307,-0.06451612903225806,,,,,,,,,,,,,
NBC,Biden,0,5,3,april_12,3,0.375,0.38235294117647056,,,,,,,,,,,,,
NBC,Trump,4,5,0,april_12,-4,-0.4444444444444444,-0.2328767123287671,,,,,,,,,,,,,
CNN,Trump,7,25,1,april_16,-6,-0.1818181818181818,-0.39896373056994816,,,,,,,,,,,,,
FOX,Biden,24,7,0,april_16,-24,-0.7741935483870968,-0.6064139941690962,,,,,,,,,,,,,
FOX,Trump,10,19,6,april_16,-4,-0.1142857142857142,-0.06451612903225806,,,,,,,,,,,,,
NBC,Biden,0,3,0,april_16,0,0.0,0.38235294117647056,,,,,,,,,,,,,
NBC,Trump,7,28,0,april_16,-7,-0.2,-0.2328767123287671,,,,,,,,,,,,,
CNN,Trump,17,26,0,april_17,-17,-0.3953488372093023,-0.39896373056994816,,,,,,,,,,,,,
FOX,Biden,21,9,1,april_17,-20,-0.6451612903225806,-0.6064139941690962,,,,,,,,,,,,,
FOX,Trump,23,11,5,april_17,-18,-0.4615384615384615,-0.06451612903225806,,,,,,,,,,,,,
NBC,Biden,0,1,0,april_17,0,0.0,0.38235294117647056,,,,,,,,,,,,,
NBC,Trump,2,20,0,april_17,-2,-0.0909090909090909,-0.2328767123287671,,,,,,,,,,,,,
CNN,Biden,0,10,6,april_5,6,0.375,0.1935483870967742,,,,,,,,,,,,,
CNN,Trump,7,7,0,april_5,-7,-0.5,-0.39896373056994816,,,,,,,,,,,,,
FOX,Biden,10,3,2,april_5,-8,-0.5333333333333333,-0.6064139941690962,,,,,,,,,,,,,
FOX,Trump,4,5,1,april_5,-3,-0.3,-0.06451612903225806,,,,,,,,,,,,,
NBC,Biden,3,4,3,april_5,0,0.0,0.38235294117647056,,,,,,,,,,,,,
NBC,Trump,7,3,0,april_5,-7,-0.7,-0.2328767123287671,,,,,,,,,,,,,
CNN,Biden,0,1,0,april_7,0,0.0,0.1935483870967742,,,,,,,,,,,,,
CNN,Trump,3,1,0,april_7,-3,-0.75,-0.39896373056994816,,,,,,,,,,,,,
FOX,Biden,11,2,2,april_7,-9,-0.6,-0.6064139941690962,,,,,,,,,,,,,
FOX,Trump,1,2,4,april_7,3,0.4285714285714285,-0.06451612903225806,,,,,,,,,,,,,
NBC,Biden,3,1,1,april_7,-2,-0.4,0.38235294117647056,,,,,,,,,,,,,
NBC,Trump,4,2,0,april_7,-4,-0.6666666666666666,-0.2328767123287671,,,,,,,,,,,,,
CNN,Biden,0,0,2,march_14,2,1.0,0.1935483870967742,,,,,,,,,,,,,
CNN,Trump,3,6,0,march_14,-3,-0.3333333333333333,-0.39896373056994816,,,,,,,,,,,,,
FOX,Biden,6,4,0,march_14,-6,-0.6,-0.6064139941690962,,,,,,,,,,,,,
FOX,Trump,0,10,1,march_14,1,0.0909090909090909,-0.06451612903225806,,,,,,,,,,,,,
NBC,Biden,0,3,0,march_14,0,0.0,0.38235294117647056,,,,,,,,,,,,,
NBC,Trump,0,4,0,march_14,0,0.0,-0.2328767123287671,,,,,,,,,,,,,
CNN,Biden,1,0,0,march_16,-1,-1.0,0.1935483870967742,,,,,,,,,,,,,
CNN,Trump,8,10,0,march_16,-8,-0.4444444444444444,-0.39896373056994816,,,,,,,,,,,,,
FOX,Biden,13,8,3,march_16,-10,-0.4166666666666667,-0.6064139941690962,,,,,,,,,,,,,
FOX,Trump,2,35,1,march_16,-1,-0.0263157894736842,-0.06451612903225806,,,,,,,,,,,,,
NBC,Biden,1,6,0,march_16,-1,-0.1428571428571428,0.38235294117647056,,,,,,,,,,,,,
NBC,Trump,2,13,0,march_16,-2,-0.1333333333333333,-0.2328767123287671,,,,,,,,,,,,,
CNN,Biden,0,0,1,march_17,1,1.0,0.1935483870967742,,,,,,,,,,,,,
CNN,Trump,7,8,0,march_17,-7,-0.4666666666666667,-0.39896373056994816,,,,,,,,,,,,,
FOX,Biden,6,3,0,march_17,-6,-0.6666666666666666,-0.6064139941690962,,,,,,,,,,,,,
FOX,Trump,0,20,0,march_17,0,0.0,-0.06451612903225806,,,,,,,,,,,,,
NBC,Biden,0,4,1,march_17,1,0.2,0.38235294117647056,,,,,,,,,,,,,
NBC,Trump,1,6,0,march_17,-1,-0.1428571428571428,-0.2328767123287671,,,,,,,,,,,,,
CNN,Biden,1,4,0,march_21,-1,-0.2,0.1935483870967742,,,,,,,,,,,,,
